Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+170.226,+000.118,+179.339,-0.149,+0.037,-0.718,+00.0350,-00.1370,+10.0840,+00.000953,+00.000439,-00.000492
+170.226,+000.119,+179.338,-0.148,+0.029,-0.710,+00.0050,-00.0980,+10.0590,-00.000846,+00.000163,+00.001086
+170.225,+000.117,+179.337,-0.151,+0.029,-0.713,+00.0030,-00.1250,+10.0700,-00.000041,+00.001057,-00.001155
+170.225,+000.117,+179.336,-0.153,+0.029,-0.718,+00.0090,-00.1000,+10.0900,-00.000128,-00.000801,-00.000277
+170.228,+000.116,+179.337,-0.151,+0.040,-0.715,+00.0130,-00.1180,+10.0780,+00.000805,-00.000475,-00.000336
+170.226,+000.116,+179.337,-0.152,+0.037,-0.715,+00.0320,-00.1280,+10.1020,-00.000291,-00.000215,+00.000112
+170.227,+000.118,+179.336,-0.153,+0.032,-0.716,+00.0170,-00.1220,+10.0830,-00.001138,+00.000602,-00.000620
+170.225,+000.118,+179.336,-0.152,+0.033,-0.712,+00.0170,-00.1130,+10.1020,+00.001050,-00.000665,+00.000040
+170.225,+000.118,+179.337,-0.148,+0.028,-0.715,+00.0320,-00.0940,+10.0800,+00.000019,+00.000201,-00.000569
+170.227,+000.118,+179.338,-0.151,+0.031,-0.720,+00.0160,-00.1150,+10.0920,-00.000285,+00.001227,-00.001799
+170.226,+000.117,+179.338,-0.149,+0.033,-0.713,+00.0120,-00.1060,+10.0800,+00.001033,-00.000148,-00.000119
+170.227,+000.117,+179.339,-0.152,+0.032,-0.711,+00.0240,-00.1210,+10.1050,-00.000681,+00.001188,-00.000934
+170.220,+000.118,+179.339,-0.151,+0.036,-0.716,+00.0120,-00.1320,+10.0730,-00.000579,-00.001578,+00.000561
+170.219,+000.117,+179.339,-0.151,+0.034,-0.713,+00.0320,-00.1120,+10.0520,-00.001162,-00.000073,+00.000088
+170.220,+000.117,+179.339,-0.149,+0.034,-0.715,+00.0190,-00.1280,+10.0770,-00.000643,+00.001581,+00.000817
+170.218,+000.118,+179.340,-0.151,+0.036,-0.718,+00.0010,-00.1190,+10.0470,+00.000970,-00.000790,-00.000599
